City,Zip Code,Population,Precipation,Temperature,Air Quality,Population Density,Land Type,Latitude,Longitude
Palmdale,93550,74595,11.1,60,45,1600,Suburban,34.4133,-118.0917
Palos Verdes Peninsula,90274,26195,23.5,62,33,2500,Suburban,33.7669,-118.3806
Panorama City,91402,69817,23,64,54,17000,Urban,34.2262,-118.447
Paramount,90723,54098,22,64,59,15800,Urban,33.8969,-118.1632
Pasadena,91104,37339,25.2,64,57,6400,Urban,34.1678,-118.1261
Pico Rivera,90660,63522,23,65,60,12000,Urban,33.9886,-118.0883
Playa del Rey,90293,12129,21.5,63.5,35,5000,Suburban,33.9577,-118.4373
Pomona,91766,75540,23.5,63,55,7200,Suburban,34.0418,-117.7569
Porter Ranch,91326,30571,23,61.5,50,2500,Suburban,34.2619,-118.582
Rancho Palos Verdes,90275,41643,23.5,64,33,3600,Suburban,33.7515,-118.367
Redondo Beach,90277,35065,21.5,63,35,11000,Suburban,33.8307,-118.3832
Reseda,91335,74363,23,64.5,54,14500,Urban,34.2007,-118.5391
Rosemead,91770,54615,23,64,57,12000,Urban,34.0658,-118.0853
San Fernando,91340,24645,23,64.5,53,10500,Urban,34.2875,-118.4352
San Gabriel,91776,39718,23,64,55,10000,Urban,34.089,-118.0955
San Marino,91108,13327,23,64,50,3200,Suburban,34.1207,-118.1117
San Pedro,90731,59662,23.5,63.5,36,8000,Urban,33.7339,-118.2914
Santa Clarita,91350,51935,23,63.5,48,3300,Suburban,34.4336,-118.5007
Santa Fe Springs,90670,16223,22,64,57,2300,Suburban,33.9464,-118.0838
Santa Monica,90405,27310,21.5,63,34,10000,Urban,34.01,-118.4717
Sherman Oaks,91423,33334,23,64.5,54,10000,Urban,34.1526,-118.4322
Sierra Madre,91024,10917,24.5,63,50,4500,Suburban,34.1651,-118.0519
Signal Hill,90755,11016,22,63.5,56,3400,Suburban,33.8029,-118.1677
South Gate,90280,94396,23,64.5,58,13000,Urban,33.9462,-118.2013
South Pasadena,91030,25616,23,64,54,7800,Urban,34.1109,-118.1547
Stevenson Ranch,91381,17557,23,63.5,48,1600,Suburban,34.3775,-118.6131
Studio City,91604,38331,23,64.5,53,6500,Urban,34.143,-118.3913
Sun Valley,91352,81788,23,64,54,8000,Urban,34.2209,-118.3699
Sunland,91040,18369,23,64,54,3000,Suburban,34.2618,-118.3371
Sylmar,91342,91725,23,64,54,4500,Suburban,34.3054,-118.4322
Tarzana,91356,29458,19.6,64,53,5500,Suburban,34.1671,-118.5414
Temple City,91780,35558,22.5,64,55,8500,Suburban,34.1016,-118.0537
Toluca Lake,91602,19744,23,64,54,5000,Urban,34.151,-118.3663
Topanga,90290,8289,23.5,62,34,1100,Rural,34.1076,-118.6023
Torrance,90501,44164,22.5,64,55,7000,Suburban,33.8268,-118.3118
Tujunga,91042,26738,24,64,54,3500,Suburban,34.2544,-118.2849
Universal City,91608,1436,23,64,54,6500,Urban,34.1383,-118.3528
Valencia,91355,32605,21,63.5,48,3000,Suburban,34.3985,-118.5535
Valley Village,91607,27927,23,64,53,10500,Urban,34.1672,-118.3989
Van Nuys,91406,51535,19.6,64,54,15000,Urban,34.2006,-118.4868
Venice,90291,31784,21,63,35,12000,Urban,33.9938,-118.4635
Verdugo City,91046,19,23,64,53,5000,Suburban,34.2114,-118.2395
Walnut,91789,42150,22.8,63.5,55,4800,Suburban,34.0183,-117.8546
West Covina,91790,46805,22.8,63.5,54,6700,Suburban,34.0673,-117.9366
West Hills,91307,24328,23,64,53,3400,Suburban,34.1963,-118.6389
West Hollywood,90069,20435,23,64,54,18000,Urban,34.0906,-118.3788
Whittier,90604,42063,22.8,64,55,7000,Suburban,33.9299,-118.0121
Wilmington,90744,57206,22.5,64,56,6500,Urban,33.7855,-118.2645
Winnetka,91306,49158,23,64,54,12000,Suburban,34.2092,-118.5749
Woodland Hills,91367,45282,19.6,64,53,3600,Suburban,34.1767,-118.6159
